Title,Abstract,Keywords,Domain,Domain other,Database,How many learners are used?,Where are traits of individuals included?,Is training performed online or in batch?,Is training performed on a simulator?,Is training performed on static real life data?,"Is training performed live, in a real-life setting?",Is an evaluation performed on a simulator?,Is an evaluation performed on static real life data?,Is a live evaluation performed in a real life setting?,Is a comparison with 'no personalization' performed?,Is there a comparison between RL/CB and other personalization techniques?,Is suitability of actions explicitly defined by users?,Is suitability of actions implicitly derived from observations on user behavior?,Is safety mentioned as a concern in the application?,Are models of user responses to system behavior available?,Are data on human responses to system behavior available?,Can new interactions with users be sampled with ease?,Is privacy mentioned as a concern in the application?,Can all information to base personalization on be measured directly?,algorithms,Source Title,Authors,Authors with affiliations,Citation Count,DOI,Type,Year,Bibtex_key,Bibtex
Latent contextual bandits and their application to personalized recommendations for new users,"Personalized recommendations for new users, also known as the cold-start problem, can be formulated as a contextual bandit problem. Existing contextual bandit algorithms generally rely on features alone to capture user variability. Such methods are inefficient in learning new users' interests. In this paper we propose Latent Contextual Bandits. We consider both the benefit of leveraging a set of learned latent user classes for new users, and how we can learn such latent classes from prior users. We show that our approach achieves a better regret bound than existing algorithms. We also demonstrate the benefit of our approach using a large real world dataset and a preliminary user study.",,Entertainment,,SCOPUS,multiple,other,batch,y,y,n,y,y,y,n,n,n,y,n,n,y,y,y,n,"Contextual Bandits,LinUCB,CLUB",IJCAI International Joint Conference on Artificial Intelligence,"Zhou L., Brunskill E.","Zhou, L., Computer Science Department, Carnegie Mellon University, United States; Brunskill, E., Computer Science Department, Carnegie Mellon University, United States",1.0,,Conference Paper,2016-01-01,Zhou2016LatentCB,"@inproceedings{Zhou2016LatentCB,
  title={Latent Contextual Bandits and their Application to Personalized Recommendations for New Users},
  author={Li Zhou and Emma Brunskill},
  booktitle={IJCAI},
  year={2016}
}"
Trust and privacy correlations in social networks: A deep learning framework,"Online Social Networks (OSNs) remain the focal point of Internet usage. Since the beginning, networking sites tried best to have right privacy mechanisms in place for users, enabling them to share the right content with the right audience. With all these efforts, privacy customizations remain hard for users across the sites. Existing research that address this problem mainly focus on semi-supervised strategies that introduce extra complexity by requiring the user to manually specify initial privacy preferences for their friends. In this work, we suggest an adaptive solution that can dynamically generate privacy labels for users in OSNs. To this end, we introduce a deep reinforcement learning framework that targets two key problems in OSNs like Facebook: the exposure of users' interactions through the network to less trusted direct friends, and the possibility of propagating user updates through direct friends' interactions to indirect friends. By implementing this framework, we aim at understanding how social trust and privacy could be correlated, specifically in a dynamic fashion. We report the ranked dependence between the generated privacy labels and the estimated user trust values, which indicate the ability of the framework to identify the highly trusted users and share with them higher percentages of data. © 2016 IEEE.",,Entertainment,,SCOPUS,1,not used,batch,n,y,n,n,y,n,n,n,n,y,n,n,y,y,y,n,Fitted Q-Iteration,"Proceedings of the 2016 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2016","Jaradat S., Dokoohaki N., Matskin M., Ferrari E.","Jaradat, S., KTH, Royal Institute of Technology, Sweden; Dokoohaki, N., KTH, Royal Institute of Technology, Sweden; Matskin, M., KTH, Royal Institute of Technology, Sweden; Ferrari, E., University of Insubria, Italy",1.0,10.1109/ASONAM.2016.7752236,Conference Paper,2016-01-01,Jaradat_2016," @article{Jaradat_2016, title={Trust and privacy correlations in social networks: A deep learning framework}, ISBN={9781509028467}, url={http://dx.doi.org/10.1109/ASONAM.2016.7752236}, DOI={10.1109/asonam.2016.7752236}, journal={2016 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)}, publisher={IEEE}, author={Jaradat, Shatha and Dokoohaki, Nima and Matskin, Mihhail and Ferrari, Elena}, year={2016}, month={Aug}}
"
On personalizing Web content through reinforcement learning,"Nowadays, a large use of personalization techniques is used to adapt Web content to users’ habits, mainly with the aim of offering appropriate products and services. This paper presents a system that uses personalization and adaptation techniques, in order to transcode or modify contents (e.g., adapt text fonts) so as to meet preferences and needs of elderly users and users with disabilities. Such an adaptation can have a positive effect, in particular for users with some reading-related disabilities (i.e., people with dyslexia, users with low vision, users with color blindness, elderly people.). To avoid issues arising from applying transformations to the whole content, the proposed system uses Web intelligence to perform automatic adaptations on single elements composing a Web page. The transformation is applied on the basis of a reinforcement learning algorithm which manages a user profile. The system is evaluated through simulations and a real assessment, where elderly users where asked to use the system prototype for a time period and to perform some specific tasks. Results of the qualitative evaluation confirm the feasibility of the proposal, showing its validity and the users’ appreciation. © 2016, Springer-Verlag Berlin Heidelberg.",Content adaptation; Legibility; Reinforcement learning; User profiling; Web personalization,Entertainment,,SCOPUS,1/person,state representation,batch,y,n,y,y,n,y,n,n,y,y,n,y,y,y,n,y,Q-Learning,Universal Access in the Information Society,"Ferretti S., Mirri S., Prandi C., Salomoni P.","Ferretti, S., Department of Computer Science and Engineering, Università di Bologna, Via Mura Anteo Zamboni 7, Bologna, Italy; Mirri, S., Department of Computer Science and Engineering, Università di Bologna, Via Mura Anteo Zamboni 7, Bologna, Italy; Prandi, C., Department of Computer Science and Engineering, Università di Bologna, Via Mura Anteo Zamboni 7, Bologna, Italy; Salomoni, P., Department of Computer Science and Engineering, Università di Bologna, Via Mura Anteo Zamboni 7, Bologna, Italy",1.0,10.1007/s10209-016-0463-2,Article,2017-01-01,Ferretti_2016," @article{Ferretti_2016, title={On personalizing Web content through reinforcement learning}, volume={16}, ISSN={1615-5297}, url={http://dx.doi.org/10.1007/s10209-016-0463-2}, DOI={10.1007/s10209-016-0463-2}, number={2}, journal={Universal Access in the Information Society}, publisher={Springer Nature}, author={Ferretti, Stefano and Mirri, Silvia and Prandi, Catia and Salomoni, Paola}, year={2016}, month={Mar}, pages={395–410}}
"
Optimal medication dosing from suboptimal clinical examples: A deep reinforcement learning approach,"Misdosing medications with sensitive therapeutic windows, such as heparin, can place patients at unnecessary risk, increase length of hospital stay, and lead to wasted hospital resources. In this work, we present a clinician-in-the-loop sequential decision making framework, which provides an individualized dosing policy adapted to each patient's evolving clinical phenotype. We employed retrospective data from the publicly available MIMIC II intensive care unit database, and developed a deep reinforcement learning algorithm that learns an optimal heparin dosing policy from sample dosing trails and their associated outcomes in large electronic medical records. Using separate training and testing datasets, our model was observed to be effective in proposing heparin doses that resulted in better expected outcomes than the clinical guidelines. Our results demonstrate that a sequential modeling approach, learned from retrospective data, could potentially be used at the bedside to derive individualized patient dosing policies.",,Health,,IEEE Explore,1,state representation,batch,n,y,n,n,y,n,y,n,n,y,y,y,n,y,n,y,Deep Reinforcement Learning,2016 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),S. Nemati; M. M. Ghassemi; G. D. Clifford,,1.0,10.1109/EMBC.2016.7591355,IEEE Conferences,2016-01-01,Nemati_2016," @article{Nemati_2016, title={Optimal medication dosing from suboptimal clinical examples: A deep reinforcement learning approach}, ISBN={9781457702204}, url={http://dx.doi.org/10.1109/EMBC.2016.7591355}, DOI={10.1109/embc.2016.7591355}, journal={2016 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)}, publisher={IEEE}, author={Nemati, Shamim and Ghassemi, Mohammad M. and Clifford, Gari D.}, year={2016}, month={Aug}}
"
A unified control framework of HVAC system for thermal and acoustic comforts in office building,"Intelligent building system attracts more and more attention in both academic and industrial communities. Learning human comfort requirements and incorporating it into building control system is one of the important issues. In the traditional HVAC control system, the thermal comfort and the acoustic comfort are often conflicted and we lack of a scheme to trade off them well. In this paper, we propose a unified control framework based on reinforcement learning to balance the multiple dimension comforts, including the thermal and acoustic comforts. We utilize the user's complaints in thermal and acoustic sensations as feedback and combine the current environment and devices information to learn the personalized optimal control policy using online Q-learning. The challenge caused by the complaints is coped with an incorporated perception estimation scheme in the Q-learning reward design. Both simulation results and the field experimental results demonstrate the effectiveness of the algorithm, especially in the adaptivity to the individual tradeoff between thermal and acoustic comfort.",,Energy,,IEEE Xplore,1/person,not used,online,y,n,y,y,n,y,n,n,n,y,n,n,n,y,n,y,Q-Learning,2013 IEEE International Conference on Automation Science and Engineering (CASE),Y. Zhao; Q. Zhao; L. Xia; Z. Cheng; F. Wang; F. Song,,1.0,10.1109/CoASE.2013.6653964,IEEE Conferences,2013-01-01,Zhao_2013," @article{Zhao_2013, title={A unified control framework of HVAC system for thermal and acoustic comforts in office building}, ISBN={9781479915156}, url={http://dx.doi.org/10.1109/CoASE.2013.6653964}, DOI={10.1109/coase.2013.6653964}, journal={2013 IEEE International Conference on Automation Science and Engineering (CASE)}, publisher={IEEE}, author={Zhao, Yin and Zhao, Qianchuan and Xia, Li and Cheng, Zhijin and Wang, Fulin and Song, Fangting}, year={2013}, month={Aug}}
"
An interactive learning and adaptation framework for adaptive robot assisted therapy,"In this paper, we present an interactive learning and adaptation framework. The framework combines Interactive Reinforcement Learning methods to effectively adapt and refine a learned policy to cope with new users. We argue that implicit feedback provided by the primary user and guidance from a secondary user can be integrated to the adaptation mechanism, resulting at a tailored and safe interaction. We illustrate this framework with a use case in Robot Assisted Therapy, presenting a Robot Yoga Trainer that monitors a yoga training session, adjusting the session parameters based on human motion activity recognition and evaluation through depth data, to assist the user complete the session, following a Reinforcement Learning approach. Copyright 2016 is held by the owner/author(s).",Adaptive Robot Assisted Therapy; Interactive Reinforcement Learning; Policy Adaptation,Health,,SCOPUS,1,state representation,unknown,n,n,n,n,n,n,n,n,y,y,y,n,y,n,y,y,Interactive Reinforcement Learning,ACM International Conference Proceeding Series,"Tsiakas K., Papakostas M., Chebaa B., Ebert D., Karkaletsis V., Makedon F.","Tsiakas, K., CSE Department, University of Texas at Arlington, United States; Papakostas, M., CSE Department, University of Texas at Arlington, United States; Chebaa, B., Department of Psychology, HERACLEIA Lab, University of Texas at Arlington, United States; Ebert, D., CSE Department, University of Texas at Arlington, United States; Karkaletsis, V., National Center for Scientific Research Demokritos, Athens, Greece; Makedon, F., CSE Department, University of Texas at Arlington, United States",1.0,10.1145/2910674.2935857,Conference Paper,2016-01-01,Tsiakas_2016_0," @article{Tsiakas_2016_0, title={An Interactive Learning and Adaptation Framework for Adaptive Robot Assisted Therapy}, ISBN={9781450343374}, url={http://dx.doi.org/10.1145/2910674.2935857}, DOI={10.1145/2910674.2935857}, journal={Proceedings of the 9th ACM International Conference on PErvasive Technologies Related to Assistive Environments - PETRA  ’16}, publisher={ACM Press}, author={Tsiakas, Konstantinos and Papakostas, Michalis and Chebaa, Benjamin and Ebert, Dylan and Karkaletsis, Vangelis and Makedon, Fillia}, year={2016}}
"
Exploiting Reinforcement Learning to Profile Users and Personalize Web Pages,"In this paper, we present a Web content adaptation system that is able to automatically adapt textual elements of Web pages, based on the user profile and preferences. The system employs Web intelligence to perform these automatic adaptations on single elements composing a Web page. In particular, a reinforcement learning algorithm, i.e. Q-learning, based on the idea of reward/punishment is utilized as the machine learning system that manages the user profile. Based on it, the user profile is updated, so that automatic adaptations can be effectively performed while surfing the Web. We created a simulation scenario to test our approach over different users with specific preferences and/or different kinds of disabilities. Simulation results confirm the viability of the proposal.",Web personalization;content adaptation;legibility;reinforcement learning;user profiling,Entertainment,,IEEE Xplore,1/person,state representation,batch,y,n,y,y,n,y,n,n,y,y,n,y,y,y,n,y,Q-Learning,2014 IEEE 38th International Computer Software and Applications Conference Workshops,S. Ferretti; S. Mirri; C. Prandi; P. Salomoni,,1.0,10.1109/COMPSACW.2014.45,IEEE Conferences,2014-01-01,Ferretti_2014," @article{Ferretti_2014, title={Exploiting Reinforcement Learning to Profile Users and Personalize Web Pages}, ISBN={9781479935789}, url={http://dx.doi.org/10.1109/COMPSACW.2014.45}, DOI={10.1109/compsacw.2014.45}, journal={2014 IEEE 38th International Computer Software and Applications Conference Workshops}, publisher={IEEE}, author={Ferretti, Stefano and Mirri, Silvia and Prandi, Catia and Salomoni, Paola}, year={2014}, month={Jul}}
"
Personalised Human-Robot Co-Adaptation in Instructional Settings using Reinforcement Learning,"In the domain of robotic tutors, personalised tutoring has startedto receive scientists’ attention, but is still relatively underexplored. Previ-ous work using reinforcement learning (RL) has addressed personalisedtutoring from the perspective of affective policy learning. In this paperwe build on previous work on affective policy learning that used RL tolearn  what  robot’s  supportive  behaviours  are  preferred  by  users  in  aneducational  scenario.  We  propose  a  RL  framework  for  personalisationthat selects a robot’s supportive behaviours to maximize user’s task per-formance in a learning scenario where a Pepper robot acting as a tutorhelps people learning how to solve grid-based logic puzzles. This workis relevant for the development of persuasive embodied agents and so-cial robots used to support users in different scenarios. In particular, thispaper makes a contribution towards the development of algorithms forhuman-robot co-adaptation that enable robots and agents to select effec-tive strategies to establish long-term relationships with human users",,Education,,Google Scholar,1,not used,unknown,n,n,y,n,n,y,y,n,n,y,n,n,y,n,n,y,"RL, not further specified",Persuasive Embodied Agents for Behavior Change (PEACH2017) Workshop at the International conference on Intelligent Virtual Agents (IVA2017),,,1.0,,,2017-01-01,gao2017personalised,"@inproceedings{gao2017personalised,
  title={Personalised human-robot co-adaptation in instructional settings using reinforcement learning},
  author={Gao, Alex Yuan and Barendregt, Wolmet and Castellano, Ginevra},
  booktitle={IVA Workshop on Persuasive Embodied Agents for Behavior Change: PEACH 2017, August 27, Stockholm, Sweden},
  year={2017}
}
"
Multi-objective reinforcement learning algorithm and its application in drive system,"Generally, reinforcement learning (RL) is used to design neurocontroller for control system with single objective. When facing multi-objective system, it is necessary to design the neurocontroller according to the personal preference. This paper proposed a multi-objective reinforcement learning algorithm (MORLA) to design neurocontroller with the personal preference. It transformed the multi-objective into synthetical objective and applied parallel genetic algorithm (PGA) to evolve the neurocontroller according to the synthetical objective. To establish the synthetical objective, the objective weight which represents the personal preference is calculated by solving the constrained optimization problem (COP) at the end of each generation. The COP requires not only the biggest variance of the synthetical objective in the population, but also requires the weight to fit the designerpsilas preference. After acquiring the weights, the PGA can select the elitists from the population according to the designerpsilas preference and design a satisfying neurocontroller by evolutionary operations. At last, the MORLA is used to design neurocontroller for a speed-controlled induction motor drive with indirect vector control. This paper designed several neurocontrollers with different personal preferences for the drive system. The simulation results show the feasibility and validity of the MORLA.",,Transport,,IEEE Xplore,1,not used,unknown,y,n,n,y,n,n,n,n,n,y,y,n,n,y,n,y,"GA,RL, not further specified",2008 34th Annual Conference of IEEE Industrial Electronics,Zhang Huajun; Zhao Jin; Wang Rui; Ma Tan,,1.0,10.1109/IECON.2008.4757965,IEEE Conferences,2008-01-01,Zhang_Huajun_2008," @article{Zhang_Huajun_2008, title={Multi-objective reinforcement learning algorithm and its application in drive system}, ISBN={9781424417674}, url={http://dx.doi.org/10.1109/IECON.2008.4757965}, DOI={10.1109/iecon.2008.4757965}, journal={2008 34th Annual Conference of IEEE Industrial Electronics}, publisher={IEEE}, author={Zhang Huajun and Zhao Jin and Wang Rui and Ma Tan}, year={2008}, month={Nov}}
"
Multi-agents and learning: Implications for Webusage mining,"Characterization of user activities is an important issue in the design and maintenance of websites. Server weblog files have abundant information about the user's current interests. This information can be mined and analyzed therefore the administrators may be able to guide the users in their browsing activity so they may obtain relevant information in a shorter span of time to obtain user satisfaction. Web-based technology facilitates the creation of personally meaningful and socially useful knowledge through supportive interactions, communication and collaboration among educators, learners and information. This paper suggests a new methodology based on learning techniques for a Web-based Multiagent-based application to discover the hidden patterns in the user's visited links. It presents a new approach that involves unsupervised, reinforcement learning, and cooperation between agents. It is utilized to discover patterns that represent the user's profiles in a sample website into specific categories of materials using significance percentages. These profiles are used to make recommendations of interesting links and categories to the user. The experimental results of the approach showed successful user pattern recognition, and cooperative learning among agents to obtain user profiles. It indicates that combining different learning algorithms is capable of improving user satisfaction indicated by the percentage of precision, recall, the progressive category weight and F1-measure. © 2015.Production and hosting by Elsevier B.V.",Cooperative learning; Personalized web search; Recommendation system; Reinforcement learning; Unsupervised learning,Education,,SCOPUS,1/group,not used,online,y,n,n,y,n,n,n,y,n,y,n,n,y,y,n,n,Q-Learning,Journal of Advanced Research,"Lotfy H.M.S., Khamis S.M.S., Aboghazalah M.M.","Lotfy, H.M.S., Computer Science, Mathematics Department, Faculty of Science, AinShams University, Cairo, Egypt; Khamis, S.M.S., Computer Science, Mathematics Department, Faculty of Science, AinShams University, Cairo, Egypt; Aboghazalah, M.M., Pure Math. and Computer Science, Menoufia University, Menoufia, Egypt",1.0,10.1016/j.jare.2015.06.005,Article,2016-01-01,Lotfy_2016," @article{Lotfy_2016, title={Multi-agents and learning: Implications for Webusage mining}, volume={7}, ISSN={2090-1232}, url={http://dx.doi.org/10.1016/j.jare.2015.06.005}, DOI={10.1016/j.jare.2015.06.005}, number={2}, journal={Journal of Advanced Research}, publisher={Elsevier BV}, author={Lotfy, Hewayda M.S. and Khamis, Soheir M.S. and Aboghazalah, Maie M.}, year={2016}, month={Mar}, pages={285–295}}
"
A Reinforcement Learning Approach to Emotion-based Automatic Playlist Generation,"A novel trend emerged in music exploration is to organize and search songs according to their emotions. However, research on automatic playlist generation (APG) primarily focuses on metadata and audio similarity. Mainstream solutions view APG as a static problem. This paper argues that the APG problem is better modeled as a continuous optimization problem, and proposes an adaptive preference model for personalized APG based on emotions. The main idea is to collect a user's behavior in music playing, e.g., rating, skipping and replaying, as immediate feedback in learning the user's preferences for music emotion within a playlist. Reinforcement learning is adopted to learn the user's current preferences, which are used to generate personalized playlists. Learning parameters are tuned by simulation of two hypothetical users. A two-month user study is conducted to evaluate the APG solutions. The results show that the proposed approach reduces the Miss Ratio by 10% in comparison with the baseline approach.",automatic playlist generation;reinforcement learning;song emotion,Entertainment,,y,1,not used,batch,n,n,n,n,n,y,y,n,y,y,n,n,y,y,n,n,"SARSA,Q-Learning",2010 International Conference on Technologies and Applications of Artificial Intelligence,C. Y. Chi; R. T. H. Tsai; J. Y. Lai; J. Y. j. Hsu,,1.0,10.1109/TAAI.2010.21,IEEE Conferences,2010-01-01,Chi_2010," @article{Chi_2010, title={A Reinforcement Learning Approach to Emotion-based Automatic Playlist Generation}, ISBN={9781424486687}, url={http://dx.doi.org/10.1109/TAAI.2010.21}, DOI={10.1109/taai.2010.21}, journal={2010 International Conference on Technologies and Applications of Artificial Intelligence}, publisher={IEEE}, author={Chi, Chung-Yi and Tsai, Richard Tzong-Han and Lai, Jeng-You and Hsu, Jane Yung-jen}, year={2010}, month={Nov}}
"
A learning multi-agent system for personalized information filtering,"A multi-agent hybrid learning approach to the problem of personalized information filtering is proposed in this paper. There are four agents in the multi-agent model. The problem is modeled as Monte Carlo reinforcement learning. Our proposed algorithm is modified Monte Carlo method combined with features of unsupervised suffix tree clustering and supervised backpropagation network. We argue that this proposed approach could precisely capture the user's interest without repeatedly asking for his/her explicit rates and converge to the user's interest quickly. A conclusion is drawn that our approach is efficient, precise and converges more quickly compared with existing approaches. A prototype system is being developed.",,Education,,y,1,not used,unknown,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,Monte Carlo,"Fourth International Conference on Information, Communications and Signal Processing, 2003 and the Fourth Pacific Rim Conference on Multimedia. Proceedings of the 2003 Joint",Junhua Chen; Zhonghua Yang,,1.0,10.1109/ICICS.2003.1292790,IEEE Conferences,2003-01-01,Junhua_Chen," @article{Junhua_Chen, title={A learning multi-agent system for personalized information fiftering}, ISBN={0780381858}, url={http://dx.doi.org/10.1109/ICICS.2003.1292790}, DOI={10.1109/icics.2003.1292790}, journal={Fourth International Conference on Information, Communications and Signal Processing, 2003 and the Fourth Pacific Rim Conference on Multimedia. Proceedings of the 2003 Joint}, publisher={IEEE}, author={Junhua Chen and Zhonghua Yang}}
"
Recipe tuning by reinforcement learning in the SandS ecosystem,"The Social and Smart (SandS) project ecosystem is compounded of household appliance users sharing recipes for the used of appliances, an intermediate control layer, and an intelligent social layer which aims to optimize the appliance recipes maximizing user satisfaction. We consider two aspects of the social intelligence, the innovation producing new recipes for unkown user tasks, and the adaptation to personalize the recipe to an individual user on the basis of his/her specific feedback. The second aspect is proposed to be dealt with by Reinforcement Learning approach, thus user feedback becomes the system reward. In this paper we discuss such an architecture based on the actor-critic approach, providing some experimental results on synthetic datasets that demonstrate the feasibility of the approach, previous to real life implementations.",Reinforcement Learning;Social computing;Social networks;subconscious social intelligence,Smart Home,,IEEE Xplore,1/person,not used,online,y,n,n,y,n,n,n,n,y,n,n,n,n,n,n,y,Actor-Critic,2014 6th International Conference on Computational Aspects of Social Networks,B. Fernandez-Gauna; M. Graña,,0.0,10.1109/CASoN.2014.6920422,IEEE Conferences,2014-01-01,Fernandez_Gauna_2014," @article{Fernandez_Gauna_2014, title={Recipe tuning by reinforcement learning in the SandS ecosystem}, ISBN={9781479959396}, url={http://dx.doi.org/10.1109/CASoN.2014.6920422}, DOI={10.1109/cason.2014.6920422}, journal={2014 6th International Conference on Computational Aspects of Social Networks}, publisher={IEEE}, author={Fernandez-Gauna, Borja and Grana, Manuel}, year={2014}, month={Jul}}
"
Dynamic Class of Service mapping for Quality of Experience control in future networks,"The present work introduces a novel approach to cope with some key limitations of the present communication networks. In particular, the need for effectively managing heterogeneous resources over heterogeneous networks while guaranteeing personalized Quality of Experience (QoE) requirements to the applications, claims for a full cognitive approach which is realized through the introduction of an appropriate Future Internet architecture. The paper, taking this architecture in mind, introduces the innovative concept of dynamic association between applications and Classes of Services, performed by means of proper Reinforcement Learning algorithms. The resulting procedure guarantees QoE personalization, requires low processing capabilities and entails limited signalling overhead.",,Entertainment,,IEEE Explore,1,not used,unknown,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,other,WTC 2014; World Telecommunications Congress 2014,F. D. Priscoli; L. Fogliati; A. Palo; A. Pietrabissa,,0.0,,VDE Conferences,2014-01-01,priscoli2014dynamic,"@inproceedings{priscoli2014dynamic,
  title={Dynamic Class of Service mapping for Quality of Experience control in future networks},
  author={Priscoli, Francesco Delli and Fogliati, Laura and Palo, Andi and Pietrabissa, Antonio},
  booktitle={WTC 2014; World Telecommunications Congress 2014},
  pages={1--6},
  year={2014},
  organization={VDE}
}
"
Personalized Web recommendations: supporting epistemic information about end-users,The online recommendations are a popular presence in the Web sites world due to their potential to increase the customers' satisfaction. The ability to represent epistemic information about the clients' beliefs is important to understand their needs. This paper presents a recommender system based on reinforcement learning. The system represents concepts presented on a Web site by epistemic logical programs and uses a similarity measure between programs in order to facilitate generalization. A prototype of this system and experiments are presented.,,Entertainment,,IEEE Xplore,1,other,batch,n,y,n,n,y,n,n,y,n,y,n,n,y,y,n,y,SARSA,The 2005 IEEE/WIC/ACM International Conference on Web Intelligence (WI'05),M. Preda; D. Popescu,,0.0,10.1109/WI.2005.115,IEEE Conferences,2005-01-01,Preda," @article{Preda, title={Personalized Web Recommendations: Supporting Epistemic Information about End-Users}, ISBN={076952415X}, url={http://dx.doi.org/10.1109/WI.2005.115}, DOI={10.1109/wi.2005.115}, journal={The 2005 IEEE/WIC/ACM International Conference on Web Intelligence (WI’05)}, publisher={IEEE}, author={Preda, M. and Popescu, D.}}
"
Reducing Delay during Vertical Handover,"The next generation of wireless networks will provide heterogeneous wireless technologies to a mobile user, in which they can move using terminals with multiple access interfaces and non-real-time or real-time services. The most important issue in such environment is the Always Best Connected (ABC) concept allowing the best connectivity to applications anywhere at any time. With the growing of communication world lot of research is carried out in the field of wireless networks specifically next generation networks. The integration and interoperability of various wireless networks will lead to number of challenges. One of the challenges is the handovers across various/heterogeneous wireless networks as well as reduction of call drop probability. Number of researches has proposed solutions for this challenge. This paper proposes a solution to this problem for the improvement of end-to-end Quality of Service supporting high data rates, real time transmission over wide area and enabling users to specify their personal preferences using Markov Decision Process (MDP). The proposed method uses delay as its basic parameter to select a network during handovers. The selection of the network amongst the existing wireless network considers the ongoing application of the user during the handover. Through simulations we show that our algorithm reduces call drop probability and satisfies user's requirements.",Markov Decision process;Reinforcement Learning;Reward;Transition Probability;Vertical Handover,Entertainment,,IEEE Explore,1,not used,unknown,y,n,n,y,n,n,y,n,n,n,n,n,n,y,n,y,"RL, not further specified",2015 International Conference on Computing Communication Control and Automation,N. Bagdure; B. Ambudkar,,0.0,10.1109/ICCUBEA.2015.44,IEEE Conferences,2015-01-01,Bagdure_2015," @article{Bagdure_2015, title={Reducing Delay during Vertical Handover}, ISBN={9781479968923}, url={http://dx.doi.org/10.1109/ICCUBEA.2015.44}, DOI={10.1109/iccubea.2015.44}, journal={2015 International Conference on Computing Communication Control and Automation}, publisher={IEEE}, author={Bagdure, Nilakshee and Ambudkar, Bhavna}, year={2015}, month={Feb}}
"
Smart Lifelong Learning System Based on Q-Learning,"The majority of current web-based learning systems are closed learning environments where courses and learning materials are fixed and the only dynamic aspect is the organization of the material that can be adapted to allow a relatively individualized learning environment. In this paper, we propose an evolving web-based learning system which can adapt itself to its learners. More specifically, the novelty with respect to the system lies in its ability to find relevant content on the web, and its ability to personalize and adapt this content based on the system's observation of its learners and the accumulated ratings given by the learners. Hence, although learners do not have direct interaction with the open Web, the system can retrieve relevant information related to them and their situated learning characteristics. Lifelong learning scenarios have particular differences in their need for personalized recommendations that make not possible reusing existing general approaches of recommender systems. The paper describes those challenges and we propose a hybrid technique based on machine learning to recognize learner preferences and predict theirs required contents with high accuracy.",Learning Promotion;Lifelong Learning;Machine Learning;Q Learning;Recommender Systems;Reinforcement Learning,Education,,IEEE Xplore,1,not used,online,n,n,y,n,n,y,n,n,n,y,n,n,n,y,n,y,Q-Learning,2010 Seventh International Conference on Information Technology: New Generations,A. A. Kardan; O. R. B. Speily,,0.0,10.1109/ITNG.2010.140,IEEE Conferences,2010-01-01,Kardan_2010," @article{Kardan_2010, title={Smart Lifelong Learning System Based on Q-Learning}, ISBN={9781424462704}, url={http://dx.doi.org/10.1109/ITNG.2010.140}, DOI={10.1109/itng.2010.140}, journal={2010 Seventh International Conference on Information Technology: New Generations}, publisher={IEEE}, author={Kardan, Ahmad A. and Speily, Omid R.B.}, year={2010}}
"
A learning strategy for paging in mobile environments,"The essence of designing a good paging strategy is to incorporate user mobility characteristics in a predictive mechanism that reduces the average paging cost with as little computational effort as possible. We introduce a novel paging scheme based on the concept of reinforcement learning. Learning endows the paging mechanism with the predictive power necessary to determine a mobile terminal's position, without having to extract a location probability distribution for each specific user. The proposed algorithm is compared against a heuristic randomized learning strategy akin to reinforcement learning, that we invented for this purpose and performs better than the case where no learning is used at all. It is shown that if the user normally moves only among a fraction of cells in the location area, significant savings can be achieved over the randomized strategy, without excessive time to train the network.",,Communication,,IEEE Xplore,1/person,not used,online,y,n,n,y,n,n,y,y,n,y,n,n,n,y,n,y,Q-Learning,2003 5th European Personal Mobile Communications Conference (Conf. Publ. No. 492),I. Koukoutsidis; P. Demestichas; M. Theologou,,0.0,10.1049/cp:20030322,IET Conferences,2003-01-01,Koukoutsidis_2003," @article{Koukoutsidis_2003, title={A learning strategy for paging in mobile environments}, ISBN={0852967535}, url={http://dx.doi.org/10.1049/cp:20030322}, DOI={10.1049/cp:20030322}, journal={5th European Personal Mobile Communications Conference 2003}, publisher={IEE}, author={Koukoutsidis, I.}, year={2003}}
"
