Title,Abstract,Access Type,Affiliations,Art. No.,Author Affiliations,Authors,Authors with affiliations,Citation Count,Copyright Year,DOI,Database,DOI counts,DOI count,Date Added To Xplore,End Page,Funding Information,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,ISBN,ISSN,Issue,Issue Date,Journal,Source Title,Keywords,License,Local ID,Meeting Date,Mesh_Terms,Online Date,PDF Link,Page count,Page end,Page start,Pages,Patent Citation Count,Publisher,Reference Count,Source,Source ISBN,Source ISSN,Source Title,Start Page,Type,URL,Unnamed: 12,Volume,Volume.1,Year,acronym,booktitle,cluster_id,conf_loc,description,edition,issue_date,issue_no,key,month,num_pages,num_versions,number,pages,pdf_url,publisher_loc,url_citation,url_citations,venue
Deep reinforcement learning for automated radiation adaptation in lung cancer:,"Purpose: To investigate deep reinforcement learning (DRL) based on historical treatment plans for developing automated radiation adaptation protocols for nonsmall cell lung cancer (NSCLC) patients that aim to maximize tumor local control at reduced rates of radiation pneumonitis grade 2 (RP2). Methods: In a retrospective population of 114 NSCLC patients who received radiotherapy, a three-component neural networks framework was developed for deep reinforcement learning (DRL) of dose fractionation adaptation. Large-scale patient characteristics included clinical, genetic, and imaging radiomics features in addition to tumor and lung dosimetric variables. First, a generative adversarial network (GAN) was employed to learn patient population characteristics necessary for DRL training from a relatively limited sample size. Second, a radiotherapy artificial environment (RAE) was reconstructed by a deep neural network (DNN) utilizing both original and synthetic data (by GAN) to estimate the transition probabilities for adaptation of personalized radiotherapy patients' treatment courses. Third, a deep Q-network (DQN) was applied to the RAE for choosing the optimal dose in a response-adapted treatment setting. This multicomponent reinforcement learning approach was benchmarked against real clinical decisions that were applied in an adaptive dose escalation clinical protocol. In which, 34 patients were treated based on avid PET signal in the tumor and constrained by a 17.2% normal tissue complication probability (NTCP) limit for RP2. The uncomplicated cure probability (P+) was used as a baseline reward function in the DRL. Results: Taking our adaptive dose escalation protocol as a blueprint for the proposed DRL (GAN + RAE + DQN) architecture, we obtained an automated dose adaptation estimate for use at ∼2/3 of the way into the radiotherapy treatment course. By letting the DQN component freely control the estimated adaptive dose per fraction (ranging from 1-5 Gy), the DRL automatically favored dose escalation/de-escalation between 1.5 and 3.8 Gy, a range similar to that used in the clinical protocol. The same DQN yielded two patterns of dose escalation for the 34 test patients, but with different reward variants. First, using the baseline P+ reward function, individual adaptive fraction doses of the DQN had similar tendencies to the clinical data with an RMSE = 0.76 Gy; but adaptations suggested by the DQN were generally lower in magnitude (less aggressive). Second, by adjusting the P+ reward function with higher emphasis on mitigating local failure, better matching of doses between the DQN and the clinical protocol was achieved with an RMSE = 0.5 Gy. Moreover, the decisions selected by the DQN seemed to have better concordance with patients eventual outcomes. In comparison, the traditional temporal difference (TD) algorithm for reinforcement learning yielded an RMSE = 3.3 Gy due to numerical instabilities and lack of sufficient learning. Conclusion: We demonstrated that automated dose adaptation by DRL is a feasible and a promising approach for achieving similar results to those chosen by clinicians. The process may require customization of the reward function if individual cases were to be considered. However, development of this framework into a fully credible autonomous system for clinical decision support would require further validation on larger multi-institutional datasets. © 2017 American Association of Physicists in Medicine.",,"Department of Radiation Oncology, University of Michigan, Ann Arbor, MI, United States; Department of Electrical and Computer Engineering, National Chiao Tung University, Hsinchu, Taiwan",,,"Tseng H.-H., Luo Y., Cui S., Chien J.-T., Ten Haken R.K., Naqa I.E.","Tseng, H.-H., Department of Radiation Oncology, University of Michigan, Ann Arbor, MI, United States; Luo, Y., Department of Radiation Oncology, University of Michigan, Ann Arbor, MI, United States; Cui, S., Department of Radiation Oncology, University of Michigan, Ann Arbor, MI, United States; Chien, J.-T., Department of Radiation Oncology, University of Michigan, Ann Arbor, MI, United States, Department of Electrical and Computer Engineering, National Chiao Tung University, Hsinchu, Taiwan; Ten Haken, R.K., Department of Radiation Oncology, University of Michigan, Ann Arbor, MI, United States; Naqa, I.E., Department of Radiation Oncology, University of Michigan, Ann Arbor, MI, United States",2,,10.1002/mp.12625,SCOPUS,1,,,,,,,,,,12,,,Medical Physics,adaptive radiotherapy; deep learning; lung cancer; reinforcement learning,,2-s2.0-85037829216,,,,,,6705,6690,,,,,Scopus,,,Medical Physics,,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037829216&doi=10.1002%2fmp.12625&partnerID=40&md5=64aadbb97a2f33ad182430a659f43b97,,44,,2017,,,,,,,,,,,,,,,,,,,
Tools for the Precision Medicine Era: How to Develop Highly Personalized Treatment Recommendations from Cohort and Registry Data Using Q-Learning,"Q-Learning is a method of reinforcement learning that employs backwards stagewise estimation to identify sequences of actions that maximize some long-term reward. The method can be applied to sequential multipleassignment randomized trials to develop personalized adaptive treatment strategies (ATSs)-longitudinal practice guidelines highly tailored to time-varying attributes of individual patients. Sometimes, the basis for choosing which ATSs to include in a sequential multiple-assignment randomized trial (or randomized controlled trial) may be inadequate. Nonrandomized data sources may inform the initial design of ATSs, which could later be prospectively validated. In this paper, we illustrate challenges involved in using nonrandomized data for this purpose with a case study from the Center for International Blood and Marrow Transplant Research registry (1995-2007) aimed at 1) determining whether the sequence of therapeutic classes used in graft-versus-host disease prophylaxis and in refractory graft-versus-host disease is associated with improved survival and 2) identifying donor and patient factors with which to guide individualized immunosuppressant selections over time. We discuss how to communicate the potential benefit derived from following an ATS at the population and subgroup levels and how to evaluate its robustness to modeling assumptions. This worked example may serve as a model for developing ATSs from registries and cohorts in oncology and other fields requiring sequential treatment decisions. © 2017 The Author(s).",,"Department of Epidemiology Biostatistics and Occupational Health, Faculty of Medicine, McGill University, 1020 Pine Avenue West, Montreal, QC, Canada; Division of Hematology and Oncology, Department of Medicine, Hopital MaisonneuveRosemont Research Center, University of Montreal, Montreal, QC, Canada; Center for International Blood and Marrow Transplant Research, Department of Medicine, Medical College of Wisconsin, Milwaukee, WI, United States; Division of Biostatistics, Institute for Health and Society, Medical College of Wisconsin, Milwaukee, WI, United States; Division of Hematology, Oncology, and Transplantation, Department of Medicine, University of Minnesota Medical Center, Minneapolis, MN, United States; Center for International Blood and Marrow Transplant Research, National Marrow Donor Program/Be the Match, Minneapolis, MN, United States; Division of Hematology/BMT, Department of Internal Medicine, University of Utah Health Care and Huntsman Cancer Center, University of Utah, Salt Lake City, UT, United States; Division of Cancer Medicine, Department of Stem Cell Transplantation, University of Texas M.D. Anderson Cancer Center, Houston, TX, United States; Department of Blood and Marrow Transplantation, Moffitt Cancer Center, Tampa, FL, United States; US Department of Defense, Fort Meade, MD, United States",,,"Krakow E.F., Hemmer M., Wang T., Logan B., Arora M., Spellman S., Couriel D., Alousi A., Pidala J., Last M., Lachance S., Moodie E.E.M.","Krakow, E.F., Department of Epidemiology Biostatistics and Occupational Health, Faculty of Medicine, McGill University, 1020 Pine Avenue West, Montreal, QC, Canada, Division of Hematology and Oncology, Department of Medicine, Hopital MaisonneuveRosemont Research Center, University of Montreal, Montreal, QC, Canada; Hemmer, M., Department of Epidemiology Biostatistics and Occupational Health, Faculty of Medicine, McGill University, 1020 Pine Avenue West, Montreal, QC, Canada; Wang, T., Center for International Blood and Marrow Transplant Research, Department of Medicine, Medical College of Wisconsin, Milwaukee, WI, United States, Division of Biostatistics, Institute for Health and Society, Medical College of Wisconsin, Milwaukee, WI, United States; Logan, B., Center for International Blood and Marrow Transplant Research, Department of Medicine, Medical College of Wisconsin, Milwaukee, WI, United States, Division of Biostatistics, Institute for Health and Society, Medical College of Wisconsin, Milwaukee, WI, United States; Arora, M., Division of Hematology, Oncology, and Transplantation, Department of Medicine, University of Minnesota Medical Center, Minneapolis, MN, United States; Spellman, S., Center for International Blood and Marrow Transplant Research, National Marrow Donor Program/Be the Match, Minneapolis, MN, United States; Couriel, D., Division of Hematology/BMT, Department of Internal Medicine, University of Utah Health Care and Huntsman Cancer Center, University of Utah, Salt Lake City, UT, United States; Alousi, A., Division of Cancer Medicine, Department of Stem Cell Transplantation, University of Texas M.D. Anderson Cancer Center, Houston, TX, United States; Pidala, J., Department of Blood and Marrow Transplantation, Moffitt Cancer Center, Tampa, FL, United States; Last, M., Center for International Blood and Marrow Transplant Research, Department of Medicine, Medical College of Wisconsin, Milwaukee, WI, United States, US Department of Defense, Fort Meade, MD, United States; Lachance, S., Division of Hematology and Oncology, Department of Medicine, Hopital MaisonneuveRosemont Research Center, University of Montreal, Montreal, QC, Canada; Moodie, E.E.M., Department of Epidemiology Biostatistics and Occupational Health, Faculty of Medicine, McGill University, 1020 Pine Avenue West, Montreal, QC, Canada",1,,10.1093/aje/kwx027,SCOPUS,1,,,,,,,,,,2,,,American Journal of Epidemiology,Adaptive treatment strategies; Dynamic treatment regimes; Graft-versus-host disease; Machine learning; Personalized medicine; Prediction; Q-learning; Registry data,,2-s2.0-85029668317,,,,,,172,160,,,,,Scopus,,,American Journal of Epidemiology,,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029668317&doi=10.1093%2faje%2fkwx027&partnerID=40&md5=1c867a9b4398186b0bd9c0698bd7be80,,186,,2017,,,,,,,,,,,,,,,,,,,
MOOClets: A framework for dynamic experimentation and personalization,"Randomized experiments in online educational environments are ubiquitous as a scientific method for investigating learning and motivation, but they rarely improve educational resources and produce practical benefits for learners. We suggest that tools for experimentally comparing resources are designed primarily through the lens of experiments as a scientific methodology, and therefore miss a tremendous opportunity for online experiments to serve as engines for dynamic improvement and personalization. We present the MOOClet requirements specification to guide the implementation of software tools for experiments to ensure that whenever alternative versions of a resource can be experimentally compared (by randomly assigning versions), the resource can also be dynamically improved (by changing which versions are presented), and personalized (by presenting different versions to different people). The MOOClet specification was used to implement DEXPER, a proof-of-concept web service backend that enables dynamic experimentation and personalization of resources embedded in frontend educational platforms. We describe three use cases of MOOClets for dynamic experimentation and personalization of motivational emails, explanations, and problems. © 2017 ACM.",,"Harvard University, Cambridge, MA, United States; Carleton College, Northfield, MN, United States; San Jose State University, San Jose, CA, United States; KAIST, Daejeon, South Korea",,,"Jaywilliams J., Rafferty A.N., Maldonado S., Ang A., Tingley D., Kim J.","Jaywilliams, J., Harvard University, Cambridge, MA, United States; Rafferty, A.N., Carleton College, Northfield, MN, United States; Maldonado, S., San Jose State University, San Jose, CA, United States; Ang, A., Harvard University, Cambridge, MA, United States; Tingley, D., Harvard University, Cambridge, MA, United States; Kim, J., KAIST, Daejeon, South Korea",,,10.1145/3051457.3054006,SCOPUS,1,,,,,,,,,,,,,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,A/B experiment; Adaptive learning; Dynamic experimentation; MOOCLet; Multi-Armed bandit; Personalization; Reinforcement learning; Statistical machine learning,,2-s2.0-85018407094,,,,,,290,287,,,,,Scopus,,,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018407094&doi=10.1145%2f3051457.3054006&partnerID=40&md5=e7315bb93f2d39de7391ea6a6ad5617a,,,,2017,,,,,,,,,,,,,,,,,,,
Framework for control and deep reinforcement learning in traffic,"Recent advances in deep reinforcement learning (RL) offer an opportunity to revisit complex traffic control problems at the level of vehicle dynamics, with the aim of learning locally optimal policies (with respect to the policy parameterization) for a variety of objectives such as matching a target velocity or minimizing fuel consumption. In this article, we present a framework called CISTAR (Customized Interface for SUMO, TraCI, and RLLab) that integrates the widely used traffic simulator SUMO with a standard deep reinforcement learning library RLLab. We create an interface allowing for easy customization of SUMO, allowing users to easily implement new controllers, heterogeneous experiments, and user-defined cost functions that depend on arbitrary state variables. We demonstrate the usage of CISTAR with several benchmark control and RL examples.",,,,"UC Berkeley, Electrical Engineering and Computer Science",C. Wu; K. Parvate; N. Kheterpal; L. Dickstein; A. Mehta; E. Vinitsky; A. M. Bayen,,,,10.1109/ITSC.2017.8317694,IEEE Xplore,1,,20180315,8,,Acceleration;Automobiles;Learning (artificial intelligence);Libraries;Machine learning;Roads;Vehicle dynamics,control engineering computing;learning (artificial intelligence);optimisation;road traffic control;road vehicles;traffic engineering computing;vehicle dynamics,Customized Interface;SUMO;benchmark control;fuel consumption minimization;locally optimal policies;policy parameterization;standard deep reinforcement learning library RLLab;traffic control;vehicle dynamics,,,,16-19 Oct. 2017,,2017 IEEE 20th International Conference on Intelligent Transportation Systems (ITSC),Simulation;control;deep reinforcement learning;vehicle dynamics,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8317694,,,,,,IEEE,,,Electronic:978-1-5386-1526-3; POD:978-1-5386-1527-0; USB:978-1-5386-1525-6,,2017 IEEE 20th International Conference on Intelligent Transportation Systems (ITSC),1,IEEE Conferences,,,,,2017,,,,,,,,,,,,,,,,,,,
A personalized QoE-aware handover decision based on distributed reinforcement learning,"Recent developments in heterogeneous mobile networks and growing demands for variety of real-time and multimedia applications have emphasized the necessity of more intelligent handover decisions. Addressing the context knowledge of mobile devices, users, applications, and networks is the subject of context-aware handoff decision as a recent effort to this aim. However, user perception has not been attended adequately in the area of context-aware handover decision making. Mobile users may have different judgments about the Quality of Service (QoS) depending on their environmental conditions, and personal and psychological characteristics. This reality has been exploited in this paper to introduce a personalized user-centric handoff decision method to decide about the time and target of handover based on User Perceived Quality (UPQ) feedbacks. The UPQ degradations are mainly for the sake of (1) exiting the coverage of the serving Point of Attachment (PoA) or (2) QoS degradation of serving access network. Using UPQ metric, the proposed method obviates the necessity of being aware about rapidly varying network QoS parameters and overcomes the complexity and overhead of gathering and managing some other context information. Moreover, considering the underlying network and geographical map, the proposed method is able to inherently exploit the trajectory information of mobile users for handover decision. UPQ degradation is not only due to the user behaviour, but also due to the behaviours of others users. As such, multi-agent reinforcement learning paradigm has been considered for target PoA selection. The employed decision algorithm is based on WoLF-PHC learning method where UPQ is used as a delayed reward for training. The proposed handoff decision has been implemented under IEEE 802.21 framework using NS2 network simulator. The results have shown better performance of the proposed method comparing to conventional methods assuming regular movement of mobile users. © 2013 Springer Science+Business Media New York.",,"Department of Information Technology Engineering, University of Isfahan, Isfahan, Iran; Department of Computer Engineering, University of Isfahan, Isfahan, Iran",,,"Ghahfarokhi B.S., Movahhedinia N.","Ghahfarokhi, B.S., Department of Information Technology Engineering, University of Isfahan, Isfahan, Iran; Movahhedinia, N., Department of Computer Engineering, University of Isfahan, Isfahan, Iran",5,,10.1007/s11276-013-0572-2,SCOPUS,1,,,,,,,,,,8,,,Wireless Networks,Context-aware handover; Distributed reinforcement learning; QoE-aware handover; User perceived quality,,2-s2.0-84886583003,,,,,,1828,1807,,,,,Scopus,,,Wireless Networks,,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886583003&doi=10.1007%2fs11276-013-0572-2&partnerID=40&md5=163b8778ea5599a29885ace91718c438,,19,,2013,,,,,,,,,,,,,,,,,,,
Computational heterogeneity in the human mesencephalic dopamine system,"Recent evidence in animals has indicated that the mesencephalic dopamine system is heterogeneous anatomically, molecularly, and functionally, and it has been suggested that the dopamine system comprises distinct functional systems. Identifying and characterizing these systems in humans will have widespread ramifications for understanding drug addiction and mental health disorders. Model-based studies in humans have suggested an analogous computational heterogeneity, in which dopaminergic targets in striatum encode both experience-based learning signals and counterfactual learning signals that are based on hypothetical information. We used brainstem-tailored fMRI to identify mesencephalic sources of experiential and counterfactual learning signals. Participants completed a decision-making task based on investing in markets. This sequential investment task generated experience-based learning signals, in the form of temporal difference (TD) reward prediction errors, and counterfactual learning signals, in the form of ""fictive errors."" Fictive errors are reinforcement learning signals based on hypothetical information about ""what could have been."" An additional learning signal was constructed to be relatable to a motivational salience signal. Blood oxygenation level dependent responses in regions of substantia nigra (SN) and ventral tegmental area (VTA), where dopamine neurons are located, coded for TD and fictive errors, and additionally were related to the motivational salience signal these results are highly consistent with animal electrophysiology and provide direct evidence that human SN and VTA heterogeneously handle important reward-harvesting computations. © 2013 The Author(s).",,"Virginia Tech Carilion Research Institute, Roanoke, VA, United States; Pediatric Emergency Medicine, Baylor College of Medicine, Houston, TX, United States; Department of Physics, Virginia Tech, Blacksburg, VA, United States; Wellcome Centre for Neuroimaging, University College London, 12 Queen Square, London WC1N 3BG, United Kingdom; Human Neuroimaging Laboratory, Virginia Tech Carilion Research Institute, 2 Riverside Circle, Roanoke, VA 24016, United States",,,"D'Ardenne K., Lohrenz T., Bartley K.A., Montague P.R.","D'Ardenne, K., Virginia Tech Carilion Research Institute, Roanoke, VA, United States; Lohrenz, T., Virginia Tech Carilion Research Institute, Roanoke, VA, United States; Bartley, K.A., Pediatric Emergency Medicine, Baylor College of Medicine, Houston, TX, United States; Montague, P.R., Virginia Tech Carilion Research Institute, Roanoke, VA, United States, Department of Physics, Virginia Tech, Blacksburg, VA, United States, Wellcome Centre for Neuroimaging, University College London, 12 Queen Square, London WC1N 3BG, United Kingdom, Human Neuroimaging Laboratory, Virginia Tech Carilion Research Institute, 2 Riverside Circle, Roanoke, VA 24016, United States",18,,10.3758/s13415-013-0191-5,SCOPUS,1,,,,,,,,,,4,,,"Cognitive, Affective and Behavioral Neuroscience",Brainstem fMRI; Decision making; Dopamine; Reinforcement learning; Reward; SN; VTA,,2-s2.0-84891421186,,,,,,756,747,,,,,Scopus,,,"Cognitive, Affective and Behavioral Neuroscience",,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891421186&doi=10.3758%2fs13415-013-0191-5&partnerID=40&md5=88015b9b776289751a9ec8a31ec8fe8f,,13,,2013,,,,,,,,,,,,,,,,,,,
A learning-based control architecture for an assistive robot providing social engagement during cognitively stimulating activities,"Recent studies have shown that sustained engagement in cognitively stimulating activities has had positive effects on the cognitive functioning of humans. The objective of our work is to develop an intelligent socially assistive robot that can engage individuals in person-centered cognitively stimulating activities. In this paper, we present the design of a novel learning-based control architecture that enables the robot to act as a social motivator by providing assistance, encouragement and celebration during the course of an activity. A hierarchical reinforcement learning (HRL) approach is used to provide the robot with the ability to: (i) learn appropriate assistive behaviors based on the structure of the activity and (ii) personalize the interaction based on the person's affective state during the activity. Preliminary experiments show that the proposed learning-based control architecture is effective in determining the optimal assistive behaviors of the robot during a memory game interaction.",,,,"Autonomous Systems and Biomechatronics Laboratory in the Department of Mechanical and Industrial Engineering at the University of Toronto, 5 King's College Road, ON, M5S 3G8 Canada",J. Chan; G. Nejat,,4,,10.1109/ICRA.2011.5980426,IEEE Xplore,1,,20110818,3933,,Games;Heart rate;Humans;Robot sensing systems;Speech recognition;Training,cognition;intelligent robots;learning (artificial intelligence);service robots;social sciences,cognitively stimulating activity;hierarchical reinforcement learning;human cognitive function;intelligent socially assistive robot;learning-based control architecture;memory game interaction,,1050-4729;10504729,,9-13 May 2011,,2011 IEEE International Conference on Robotics and Automation,,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5980426,,,,,,IEEE,18,,CD:978-1-61284-380-3; Electronic:978-1-61284-385-8; Paper:978-1-61284-386-5,,2011 IEEE International Conference on Robotics and Automation,3928,IEEE Conferences,,,,,2011,,,,,,,,,,,,,,,,,,,
"Individual differences in substance dependence: At the intersection of brain, behaviour and cognition","Recent theories of drug dependence propose that the transition from occasional recreational substance use to harmful use and dependence results from the impact of disrupted midbrain dopamine signals for reinforcement learning on frontal brain areas that implement cognitive control and decision-making.We investigated this hypothesis in humans using electrophysiological and behavioral measures believed to assay the integrity of midbrain dopamine system and its neural targets. Our investigation revealed two groups of dependent individuals, one characterized by disrupted dopamine-dependent reward learning and the other by disrupted error learning associated with depression-proneness. These results highlight important neurobiological and behavioral differences between two classes of dependent users that can inform the development of individually tailored treatment programs. © 2010 The Authors, Addiction Biology © 2010 Society for the Study of Addiction.",,"Department of Psychology, University of Victoria, P.O. Box 3050 STN CSC, Victoria, BC V8W 3P5, Canada; Center of Addiction Research of British Columbia, University of Victoria, Canada; Child and Youth Care, University of Victoria, Canada",,,"Baker T.E., Stockwell T., Barnes G., Holroyd C.B.","Baker, T.E., Department of Psychology, University of Victoria, P.O. Box 3050 STN CSC, Victoria, BC V8W 3P5, Canada; Stockwell, T., Department of Psychology, University of Victoria, P.O. Box 3050 STN CSC, Victoria, BC V8W 3P5, Canada, Center of Addiction Research of British Columbia, University of Victoria, Canada; Barnes, G., Child and Youth Care, University of Victoria, Canada; Holroyd, C.B., Department of Psychology, University of Victoria, P.O. Box 3050 STN CSC, Victoria, BC V8W 3P5, Canada",21,,10.1111/j.1369-1600.2010.00243.x,SCOPUS,1,,,,,,,,,,3,,,Addiction Biology,Addiction; Cognitive control; Event-related brain potentials; Feedback error-related negativity; Midbrain dopamine system; Reinforcement learning,,2-s2.0-79959823204,,,,,,466,458,,,,,Scopus,,,Addiction Biology,,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959823204&doi=10.1111%2fj.1369-1600.2010.00243.x&partnerID=40&md5=e52c842a99576e3ddaf9e327c0554916,,16,,2011,,,,,,,,,,,,,,,,,,,
Decomposing drama management in educational interactive narrative: A modular reinforcement learning approach,"Recent years have seen growing interest in data-driven approaches to personalized interactive narrative generation and drama management. Reinforcement learning (RL) shows particular promise for training policies to dynamically shape interactive narratives based on corpora of player-interaction data. An important open question is how to design reinforcement learning-based drama managers in order to make effective use of player interaction data, which is often expensive to gather and sparse relative to the vast state and action spaces required by drama management. We investigate an offline optimization framework for training modular reinforcement learning-based drama managers in an educational interactive narrative, CRYSTAL ISLAND. We leverage importance sampling to evaluate drama manager policies derived from different decompositional representations of the interactive narrative. Empirical results show significant improvements in drama manager quality from adopting an optimized modular RL decomposition compared to competing representations. © Springer International Publishing AG 2016.",,"North Carolina State University, Raleigh, NC, United States",,,"Wang P., Rowe J., Mott B., Lester J.","Wang, P., North Carolina State University, Raleigh, NC, United States; Rowe, J., North Carolina State University, Raleigh, NC, United States; Mott, B., North Carolina State University, Raleigh, NC, United States; Lester, J., North Carolina State University, Raleigh, NC, United States",1,,10.1007/978-3-319-48279-8_24,SCOPUS,1,,,,,,,,,,,,,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),Drama management; Educational interactive narrative; Intelligent narrative technologies; Modular reinforcement learning,,2-s2.0-84996879693,,,,,,282,270,,,,,Scopus,,,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996879693&doi=10.1007%2f978-3-319-48279-8_24&partnerID=40&md5=3e9d8ada18e9ba06d96af278df3be0e5,,10045 LNCS,,2016,,,,,,,,,,,,,,,,,,,
Design of semi-decentralized control laws for distributed-air-jet micromanipulators by reinforcement learning,"Recently, a great deal of interest has been developed in learning in multi-agent systems to achieve decentralized control. Machine learning is a popular approach to find controllers that are tailored exactly to the system without any prior model. In this paper, we propose a semi-decentralized reinforcement learning control approach in order to position and convey an object on a contact-free MEMS-based distributed-manipulation system. The experimental results validate the semi-decentralized reinforcement learning method as a way to design control laws for such distributed systems.",,,,"FEMTOST/UFC-ENSMM-UTBM-CNRS, Universit&#233; de Franche-Comt&#233;, Besan&#231;on, France",L. Matignon; G. J. Laurent; N. Le Fort-Piat,,1,,10.1109/IROS.2009.5353902,IEEE Xplore,1,,20091215,3283,,Actuators;Control systems;Distributed control;Electrodes;Machine learning;Micromanipulators;Microvalves;Multiagent systems;Open loop systems;Sorting,distributed control;jets;learning (artificial intelligence);micromanipulators;micromechanical devices;multi-agent systems,MEMS based distributed manipulation system;distributed air jet micromanipulators;distributed systems;machine learning;multi agent systems;reinforcement learning;semi decentralized control laws;semi decentralized reinforcement learning control,,2153-0858;21530858,,10-15 Oct. 2009,,2009 IEEE/RSJ International Conference on Intelligent Robots and Systems,,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5353902,,,,,,IEEE,21,,POD:978-1-4244-3803-7,,2009 IEEE/RSJ International Conference on Intelligent Robots and Systems,3277,IEEE Conferences,,,,,2009,,,,,,,,,,,,,,,,,,,
A design proposal of a game-based professional training system for highly dangerous professions,"Recently, modern society frequently faces local wars, terrorism, earthquakes, fire accidents, epidemics and coal mining accidents. Members of highly dangerous professions must obtain rigorous training so that they could bear the great historical mission. Generally speaking, these professions include armed forces, special police force, fire department, astronauts and mine disaster rescue troop. The game-based professional training systems for highly dangerous professions have their own distinct requirements. The aim of game-based learning systems is not only the study of declarative knowledge, but also entraining procedural knowledge through repeated practice until it becomes an automatic skill. The result of highly dangerous professional training is extremely important, since if a trainee dose not master the basic knowledge and skill, they could be in grave danger; the trainee's mental qualities should be continuously prompted by the training system so that they could be act intuitively under the most execrable circumstance. Based on requirements analysis and taking the case of mining rescue into account, we divide the whole training system into three parts: machine learning subsystem, brain information subsystem and credit-assignment subsystem. The machine learning subsystem (as know as serious game subsystem), contains the audio-visual coherency analysis, semantic annotation of a scene based on association memory, cooperating management of audio-visual cross-modal signals, personalization rendering of a scene. The brain information subsystem includes functions for receiving, storing and analyzing trainee's trial data based on visual and auditory signals from EEG, sEMG and psychological tests. The credit-assignment subsystem involves trainee's profiles and effect evaluation which are sent from brain information subsystem to machine learning subsystem, while the plan of knowledge learning, the result of skills training and consequence of the desensitization trial are sent as the feedback to brain information subsystem. Therefore, the whole framework works as a reinforcement learning system. The kernel of this system is the cooperating learning schema of audio-visual cross-modal signals. Furthermore, in this system the main visual signals contain scene textures, 3D character animation, 3D scene animation, while the main auditory signals contain the realistic sound, the on-the-spot orders, the on-the-spot yells and background music. In the light of cognitive principles, the following factors should be considered when a game-based leaning system is designed: (1)The working memory including phonological loop and visuo-spatial sketchpad act as two slave systems, play the role of dual sensory channels so that semantic coherency of the visual and the auditory data could be combined with the prior knowledge to be formed as long-term memory; (2) A goal of cooperative learning for audio-visual cross-modal signals is to create an approach which can process verbal information(like the realistic sound and the on-the-spot orders) and non-verbal information(such as 3D character animation as well as 3D scene animation) from the two separate subsystems; (3) Schema acquisition (based on Theory of Cognitive Load -TCL) should be a primary means of learning, and the automation of cognitive process (including declarative knowledge procedural knowledge) will be used to reduce working memory load.",,"College of Computer and Software, Taiyuan University of Technology, China",,,"Xueli y., Zhi L., Changneng Z., Guangping Z., Zengrong L.","Xueli, y., College of Computer and Software, Taiyuan University of Technology, China; Zhi, L., College of Computer and Software, Taiyuan University of Technology, China; Changneng, Z., College of Computer and Software, Taiyuan University of Technology, China; Guangping, Z., College of Computer and Software, Taiyuan University of Technology, China; Zengrong, L., College of Computer and Software, Taiyuan University of Technology, China",,,,SCOPUS,0,,,,,,,,,,,,,Proceedings of the European Conference on Games-based Learning,Audio-visual coherency; Game-based professional training; Highly dangerous professions; Theory of cognitive load; Working memory,,2-s2.0-84938575896,,,,,,394,388,,,,,Scopus,,,Proceedings of the European Conference on Games-based Learning,,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938575896&partnerID=40&md5=6cd3db1e9a9c7a1b9429e5e93b4e8cab,,2009-January,,2009,,,,,,,,,,,,,,,,,,,
